P_NAME;P_PERIOD;S_TEMPERATURE;P_DISTANCE;P_PERIASTRON;P_APASTRON;P_DISTANCE_EFF;P_FLUX;P_TEMP_EQUIL;P_TYPE;S_RADIUS_EST;S_TYPE_TEMP;S_LUMINOSITY;P_HABZONE_OPT;P_HABZONE_CON;P_TYPE_TEMP;P_HABITABLE;P_RADIUS_EST;P_MASS_EST;P_SEMI_MAJOR_AXIS_EST
Kepler-1599 b;12236355;57670000;48064308;48064308;48064308;48064310;42044912;36481549;Superterran;99000000;G;97131219;0;0;Hot;0;16254500;32754986;48064308
HD 108874 c;16240000;56000000;27349424;20234990;32945010;26783514;14149943;15454892;Jovian;10500000;G;97144754;0;0;Cold;0;13772717;31464972;26590000
BD-11 4672 b;16670000;44750000;22828500;21660000;23940000;22807134;18712911;94183848;Jovian;52000000;K;97155523;0;0;Cold;0;14156616;16844884;22800000
HD 131496 b;89600000;48460000;20429248;16461900;23738100;20183211;24514848;31680851;Jovian;44400000;K;97406564;0;0;Hot;0;13415153;57209041;20100000
HD 4308 b;15560000;56860000;12000000;12000000;12000000;12000000;67663416;73069038;Neptunian;10200000;G;97435319;0;0;Hot;0;41205931;15891400;12000000
Kepler-172 b;29403090;55260000;40000000;40000000;40000000;40000001;60905947;12656390;Superterran;10800000;G;97449514;0;0;Hot;0;23541000;61428456;40000000
Kepler-172 e;35118736;55260000;21100000;21100000;21100000;21100001;21888438;55105964;Neptunian;10800000;G;97449514;0;0;Hot;0;27576600;80359058;21100000
Kepler-172 d;14627119;55260000;11800000;11800000;11800000;11800000;69986724;73688349;Superterran;10800000;G;97449514;0;0;Hot;0;22532100;57025890;11800000
Kepler-172 c;63889960;55260000;68000000;68000000;68000000;68000002;21074722;97070077;Neptunian;10800000;G;97449514;0;0;Hot;0;28585500;85413990;68000000
Kepler-349 c;12247629;59560000;10500000;10500000;10500000;10500000;88449361;78130137;Superterran;93000000;G;97515421;0;0;Hot;0;19617500;45075054;10500000
Kepler-349 b;59297780;59560000;65000000;65000000;65000000;65000002;23080573;99301671;Superterran;93000000;G;97515421;0;0;Hot;0;19057000;42910395;65000000
Kepler-857 b;85351294;57730000;37803155;37803155;37803155;37803156;68251023;41178659;Jovian;99000000;G;97536073;0;0;Hot;0;68044700;37239185;37803155
Kepler-96 b;16238500;56900000;12547008;12547008;12547008;12547008;62066566;71508775;Neptunian;10200000;G;97709784;0;0;Hot;0;26679800;85813561;12547008
K2-284 b;47950690;41400000;47855134;43988620;51431380;47746363;43157473;65224715;Neptunian;61000000;K;97937650;0;0;Hot;0;27800800;81471405;47710000
Kepler-1328 b;45215889;57800000;53502031;53502031;53502031;53502032;34239692;10959163;Terran;99000000;G;98010000;0;0;Hot;0;97527000;88841861;53502031
Kepler-1509 b;25433820;57800000;16921959;16921959;16921959;16921959;34227024;61622199;Superterran;99000000;G;98010000;0;0;Hot;0;18496500;40789714;16921959
Kepler-325 b;45444390;57520000;53000000;53000000;53000000;53000001;34915030;11012807;Neptunian;10000000;G;98076319;0;0;Hot;0;29146000;88276834;53000000
Kepler-325 d;38715185;57520000;22000000;22000000;22000000;22000001;20263702;54053598;Neptunian;10000000;G;98076319;0;0;Hot;0;27912900;82029943;22000000
Kepler-325 c;12762172;57520000;10500000;10500000;10500000;10500000;88958112;78242244;Neptunian;10000000;G;98076319;0;0;Hot;0;25446700;70107770;10500000
HAT-P-67 b;48101025;64060000;65050000;65050000;65050000;65050002;23185803;17678705;Jovian;25500000;F;98110784;0;0;Hot;0;23372850;10806152;65050000
Kepler-1451 b;35622233;57820000;21183140;21183140;21183140;21183140;21872112;55095685;Neptunian;99000000;G;98145724;0;0;Hot;0;33517900;11191779;21183140
Kepler-864 b;58337609;57540000;63407696;63407696;63407696;63407698;24427787;10072005;Superterran;10000000;G;98212796;0;0;Hot;0;23989400;63428164;63407696
Kepler-1462 b;65648834;57560000;31841554;31841554;31841554;31841555;97002579;44961494;Neptunian;10000000;G;98349416;0;0;Hot;0;38226100;13989899;31841554
Kepler-713 b;74111410;57850000;73876838;73876838;73876838;73876840;18020046;93343457;Superterran;99000000;G;98349575;0;0;Hot;0;24774100;66990733;73876838
K2-148 d;97579000;40790000;77400000;77400000;77400000;77400002;16432462;51294473;Superterran;63000000;K;98442938;0;0;Hot;0;16366600;33139434;77400000
K2-148 c;69226000;40790000;61600000;61600000;61600000;61600002;25943176;57497729;Superterran;63000000;K;98442938;0;0;Hot;0;17263400;36281006;61600000
K2-148 b;43839500;40790000;45400000;45400000;45400000;45400001;47760939;66975062;Terran;63000000;K;98442938;0;0;Hot;0;13339900;23419147;45400000
Kepler-358 c;83488369;59080000;38100000;38100000;38100000;38100001;67865312;41120357;Neptunian;95000000;G;98513966;0;0;Hot;0;28473400;84846077;38100000
Kepler-358 b;34060467;59080000;21000000;21000000;21000000;21000001;22338768;55387239;Neptunian;95000000;G;98513966;0;0;Hot;0;27240300;78702326;21000000
K2-193 b;14786889;58170000;11840000;11840000;11840000;11840000;70280307;73765505;Neptunian;98000000;G;98522870;0;0;Hot;0;39459200;14764686;11840000
Kepler-232 b;44312220;58470000;54000000;54000000;54000000;54000001;33789127;10922930;Neptunian;97000000;G;98529094;0;0;Hot;0;30827500;97096567;54000000
Kepler-232 c;11379349;58470000;10100000;10100000;10100000;10100000;96587682;79868466;Neptunian;97000000;G;98529094;0;0;Hot;0;38338200;14059624;10100000
GJ 273 c;47234000;33820000;36993948;30267610;42666390;36600009;75222369;41961315;Terran;29000000;M;98577785;0;0;Hot;0;10554253;11791419;36467000
HAT-P-15 b;10863500;55680000;97706888;77739383;11420971;96412858;10902472;81759968;Jovian;10700000;G;98594595;0;0;Hot;0;11882600;61658633;95974547
Kepler-170 c;16665863;56790000;13100000;13100000;13100000;13100000;57611340;70189461;Neptunian;10300000;G;98866821;0;0;Hot;0;28585500;85413990;13100000
Kepler-170 b;79305920;56790000;80000000;80000000;80000000;80000002;15447941;89817830;Neptunian;10300000;G;98866821;0;0;Hot;0;31948500;10316689;80000000
Kepler-1098 b;25430729;57940000;36332377;36332377;36332377;36332378;74969630;13331108;Terran;99000000;G;98963033;0;0;Hot;0;13003600;22425611;36332377
HD 164595 b;40000000;57900000;23089056;20976000;25024000;23022322;18787559;52963884;Neptunian;99155657;G;99000615;0;0;Hot;0;41583343;16139306;23000000
K2-155 d;40718000;42580000;19370000;19370000;19370000;19370000;26406328;32476702;Superterran;58000000;K;99075726;0;0;Hot;0;19057000;42910395;19370000
K2-155 c;13850000;42580000;94600000;94600000;94600000;94600002;11070953;46471978;Neptunian;58000000;K;99075726;0;0;Hot;0;26007200;72749643;94600000
K2-155 b;63420000;42580000;56200000;56200000;56200000;56200001;31368563;60293232;Superterran;58000000;K;99075726;0;0;Hot;0;18048100;39125102;56200000
Kepler-1060 b;46877937;57970000;25353249;25353249;25353249;25353250;15427835;50491835;Superterran;99000000;G;99168156;0;0;Hot;0;23765200;62425017;25353249
Kepler-183 b;56879450;58880000;64000000;64000000;64000000;64000002;24229384;10051491;Superterran;96000000;G;99243556;0;0;Hot;0;20626400;49081044;64000000
Kepler-183 c;11637071;58880000;10300000;10300000;10300000;10300000;93546570;79232230;Superterran;96000000;G;99243556;0;0;Hot;0;22756300;57992597;10300000
Kepler-131 c;25516900;56850000;17071102;17071102;17071102;17071103;34069192;61551036;Superterran;10300000;G;99285304;0;0;Hot;0;84075000;82635281;17071102
Kepler-131 b;16092000;56850000;12554024;12554024;12554024;12554025;62996879;71775242;Neptunian;10300000;G;99285304;0;0;Hot;0;24101500;16209228;12554024
HD 175541 b;29843000;50130000;98089875;86775000;10822500;97648061;10513366;45770956;Jovian;41900000;G;99336193;0;0;Hot;0;14081624;19006115;97500000
Kepler-1303 b;75612722;57710000;75627533;75627533;75627533;75627535;17375331;92497113;Terran;10000000;G;99378616;0;0;Hot;0;14236700;26154425;75627533
Kepler-1623 b;43612835;57720000;52229888;52229888;52229888;52229890;36454886;11132273;Terran;10000000;G;99447515;0;0;Hot;0;13115700;22754822;52229888
